citation_key,year,first_author,title,study_type,doi,local_filename
2011_Duncanb,2011,Duncan,Sensor fish study John Day Dam Spillbay 20,Field,,2011_Duncan_Field_Sensor fish study John Day Dam Spillbay 20.pdf
2012_Normandeau,2012,Normandeau,Estimation of survival of adult American shad passed through Francis and Kaplan turbines,Field,,2012_Normandeau_Field_Estimation of survival of adult American shad passed through Francis and Kaplan turbines.pdf
2012_STOWA,2012,STOWA,Visvriendelijkheid van 26 opvoerwerktuigen,Field,,2012_STOWA_Field_Visvriendelijkheid van 26 opvoerwerktuigen.pdf
2012_Winter,2012,Winter,Field test for mortality of eel after passage through Pentair Fairbanks Nijhuis FishFlow turbine,Field,,2012_Winter_Field_Field test for mortality of eel after passage through Pentair Fairbanks Nijhuis FishFlow turbine.pdf
2015_Buysse,2015,Buysse,Evaluation of downstream migration mitigation actions for eel at an Archimedes screw pump pumping station,Field,10.1111/fme.12124,2015_Buysse_Field_Evaluation of downstream migration mitigation actions for eel at an Archimedes screw pump pumping station.pdf
2015_Viehman,2015,Viehman,Fish Interactions with a Commercial-Scale Tidal Energy Device in the Natural Environment,Field,10.1007/s12237-014-9767-8,2015_Viehman_Field_Fish Interactions with a Commercial-Scale Tidal Energy Device in the Natural Environment.pdf
2016_Fu,2016,Fu,Assessing hydraulic conditions through Francis turbines using an autonomous sensor device,Field,10.1016/j.renene.2016.08.029,2016_Fu_Field_Assessing hydraulic conditions through Francis turbines using an autonomous sensor device.pdf
2017_Deng,2017,Deng,Evaluation of boundary dam spillway,Field,,2017_Deng_Field_Evaluation of boundary dam spillway.pdf
2017_Egg,2017,Egg,Improving European Silver Eel (Anguilla anguilla) downstream migration by undershot sluice gate management at a,Field,10.1016/j.ecoleng.2017.05.054,2017_Egg_Field_Improving European Silver Eel (Anguilla anguilla) downstream migration by undershot sluice gate management at a.pdf
2017_Mueller,2017,Mueller,Evaluation of external fish injury caused by hydropower plants based on a novel field-based protocol,Field,10.1111/fme.12229,2017_Mueller_Field_Evaluation of external fish injury caused by hydropower plants based on a novel field-based protocol.pdf
